;事件类型1=落雷；2=岩浆；3= 落雷机关； 4=岩浆机关													
;===================================================													
;事件类型	事件组号	地图	X	Y	出现范围    攻击范围	停顿时间(S)	中心点伤害    显示特效						
1	5		HL001	372	238	4		1	3		10		111
1	5		HL001	353	231	4		1	3		10		109
1	5		HL001	349	190	4		1	3		10		111
1	5		HL001	378	177	4		1	3		10		109
1	5		HL001	361	151	4		1	3		10		110
1	5		HL001	342	96	4		1	3		10		111
1	5		HL001	328	33	4		1	3		10		110
1	5		HL001	320	39	4		1	3		10		111
1	5		HL001	308	57	4		1	3		10		109
1	5		HL001	292	71	4		1	3		10		110
1	5		HL001	299	97	4		1	3		10		111
1	5		HL001	282	112	4		1	3		10		111
1	5		HL001	255	137	4		1	3		10		110
1	5		HL001	226	152	4		1	3		10		111
1	5		HL001	224	126	4		1	3		10		109
1	5		HL001	206	85	4		1	3		10		111
1	5		HL001	213	69	4		1	3		10		111
1	5		HL001	181	49	4		1	3		10		109
1	5		HL001	224	43	4		1	3		10		110
1	5		HL001	78	269	4		1	3		10		110
1	5		HL001	68	280	4		1	3		10		109
1	5		HL001	42	292	4		1	3		10		110
1	5		HL001	33	62	4		1	3		10		109
1	5		HL001	17	51	4		1	3		10		109
1	5		HL001	48	172	4		1	3		10		109
1	5		HL001	54	196	4		1	3		10		110
1	5		HL001	32	274	4		1	3		10		111
1	5		HL001	32	266	4		1	3		10		110
1	5		HL001	16	283	4		1	3		10		109
1	5		HL001	17	234	4		1	3		10		111
1	5		HL001	22	225	4		1	3		10		110
1	5		HL001	65	148	4		1	3		10		110
1	5		HL001	88	137	4		1	3		10		109
1	5		HL001	92	127	4		1	3		10		110
1	5		HL001	104	123	4		1	3		10		111
1	5		HL001	94	95	4		1	3		10		110
1	5		HL001	81	44	4		1	3		10		109
1	5		HL001	83	34	4		1	3		10		110
1	5		HL001	72	31	4		1	3		10		111
1	5		HL001	92	37	4		1	3		10		110
1	5		HL001	114	50	4		1	3		10		110
1	5		HL001	124	54	4		1	3		10		111
1	5		HL001	137	67	4		1	3		10		111
1	5		HL001	168	98	4		1	3		10		110
1	5		HL001	162	112	4		1	3		10		111
1	5		HL001	126	154	4		1	3		10		111
1	5		HL001	114	166	4		1	3		10		111
1	5		HL001	110	176	4		1	3		10		109
1	5		HL001	102	178	4		1	3		10		110
1	5		HL001	92	184	4		1	3		10		109
1	5		HL001	91	208	4		1	3		10		110
1	5		HL001	111	244	4		1	3		10		111
1	5		HL001	115	262	4		1	3		10		109
1	5		HL001	117	268	4		1	3		10		109
1	5		HL001	120	271	4		1	3		10		111
1	5		HL001	122	272	4		1	3		10		111
1	5		HL001	120	276	4		1	3		10		109
1	5		HL001	76	372	4		1	3		10		110
1	5		HL001	91	372	4		1	3		10		110
1	5		HL001	95	340	4		1	3		10		109
1	5		HL001	126	312	4		1	3		10		110
1	5		HL001	138	326	4		1	3		10		110
1	5		HL001	142	334	4		1	3		10		111
1	5		HL001	134	349	4		1	3		10		111
1	5		HL001	164	372	4		1	3		10		110
1	5		HL001	174	361	4		1	3		10		111
1	5		HL001	180	353	4		1	3		10		110
1	5		HL001	183	345	4		1	3		10		111
1	5		HL001	188	337	4		1	3		10		110
1	5		HL001	203	290	4		1	3		10		110
1	5		HL001	205	274	4		1	3		10		109
1	5		HL001	184	277	4		1	3		10		110
1	5		HL001	168	267	4		1	3		10		111
1	5		HL001	170	235	4		1	3		10		111
1	5		HL001	162	227	4		1	3		10		110
1	5		HL001	159	220	4		1	3		10		109
1	5		HL001	161	210	4		1	3		10		110
1	5		HL001	177	191	4		1	3		10		109
1	5		HL001	206	180	4		1	3		10		109
1	5		HL001	204	194	4		1	3		10		110
1	5		HL001	189	213	4		1	3		10		111
1	5		HL001	195	221	4		1	3		10		109
1	5		HL001	203	225	4		1	3		10		110
1	5		HL001	211	226	4		1	3		10		110
1	5		HL001	252	206	4		1	3		10		111
1	5		HL001	261	201	4		1	3		10		110
1	5		HL001	270	195	4		1	3		10		109
1	5		HL001	278	196	4		1	3		10		110
1	5		HL001	262	214	4		1	3		10		111
1	5		HL001	250	252	4		1	3		10		111
1	5		HL001	246	258	4		1	3		10		110
1	5		HL001	252	272	4		1	3		10		110
1	5		HL001	249	283	4		1	3		10		111
1	5		HL001	245	285	4		1	3		10		110
1	5		HL001	243	315	4		1	3		10		111
1	5		HL001	241	323	4		1	3		10		110
1	5		HL001	233	333	4		1	3		10		109
1	5		HL001	223	339	4		1	3		10		110
1	5		HL001	227	341	4		1	3		10		110
1	5		HL001	218	343	4		1	3		10		111
1	5		HL001	236	357	4		1	3		10		110
1	5		HL001	249	360	4		1	3		10		111
1	5		HL001	261	373	4		1	3		10		110
1	5		HL001	251	359	4		1	3		10		109
1	5		HL001	259	352	4		1	3		10		110
1	5		HL001	273	134	4		1	3		10		110
1	5		HL001	281	330	4		1	3		10		110
1	5		HL001	279	307	4		1	3		10		111
1	5		HL001	277	299	4		1	3		10		109
1	5		HL001	283	291	4		1	3		10		110
1	5		HL001	289	281	4		1	3		10		110
1	5		HL001	298	272	4		1	3		10		111
1	5		HL001	325	296	4		1	3		10		110
1	5		HL001	321	306	4		1	3		10		111
1	5		HL001	317	318	4		1	3		10		109
1	5		HL001	333	326	4		1	3		10		110
1	5		HL001	332	342	4		1	3		10		110
1	5		HL001	299	360	4		1	3		10		109
1	5		HL001	292	359	4		1	3		10		110
1	5		HL001	296	365	4		1	3		10		111
1	5		HL001	306	269	4		1	3		10		110
1	5		HL001	311	372	4		1	3		10		111
1	5		HL001	336	376	4		1	3		10		110
1	5		HL001	345	381	4		1	3		10		109
1	5		HL001	351	376	4		1	3		10		110
1	5		HL001	367	363	4		1	3		10		111
1	5		HL001	373	361	4		1	3		10		110
1	5		HL001	379	342	4		1	3		10		111
1	5		HL001	367	309	4		1	3		10		110
1	5		HL001	373	300	4		1	3		10		110
1	5		HL001	379	296	4		1	3		10		111
1	5		HL001	369	286	4		1	3		10		110
1	5		HL001	364	254	4		1	3		10		110
1	5		HL001	369	245	4		1	3		10		110

;gu						4							
1	5		HL001	192	123	4		1	3		10		110
1	5		HL001	197	128	4		1	3		10		110
1	5		HL001	203	126	4		1	3		10		110
1	5		HL001	201	121	4		1	3		10		110
1	5		HL001	206	125	4		1	3		10		110
1	5		HL001	210	118	4		1	3		10		110
1	5		HL001	211	125	4		1	3		10		110
1	5		HL001	212	111	4		1	3		10		110
1	5		HL001	210	95	4		1	3		10		110
1	5		HL001	200	88	4		1	3		10		110
1	5		HL001	200	82	4		1	3		10		110
1	5		HL001	210	77	4		1	3		10		110
1	5		HL001	217	78	4		1	3		10		110
1	5		HL001	221	73	4		1	3		10		110
1	5		HL001	217	88	4		1	3		10		110
1	5		HL001	206	70	4		1	3		10		110
1	5		HL001	207	58	4		1	3		10		110
1	5		HL001	195	55	4		1	3		10		110
1	5		HL001	182	51	4		1	3		10		110
1	5		HL001	179	47	4		1	3		10		110
1	5		HL001	184	44	4		1	3		10		110
1	5		HL001	170	46	4		1	3		10		110
1	5		HL001	176	41	4		1	3		10		110
1	5		HL001	191	31	4		1	3		10		110
1	5		HL001	188	27	4		1	3		10		110
1	5		HL001	203	25	4		1	3		10		110
1	5		HL001	206	30	4		1	3		10		110
1	5		HL001	212	36	4		1	3		10		110
1	5		HL001	381	243	4		1	3		10		110
1	5		HL001	224	44	4		1	3		10		110
1	5		HL001	227	40	4		1	3		10		110
1	5		HL001	237	30	4		1	3		10		110
1	5		HL001	240	33	4		1	3		10		110
1	5		HL001	248	30	4		1	3		10		110
1	5		HL001	253	28	4		1	3		10		110
1	5		HL001	259	24	4		1	3		10		110
1	5		HL001	260	19	4		1	3		10		110
1	5		HL001	264	32	4		1	3		10		110
1	5		HL001	268	36	4		1	3		10		110
1	5		HL001	277	37	4		1	3		10		110
1	5		HL001	280	27	4		1	3		10		110
1	5		HL001	285	48	4		1	3		10		110
1	5		HL001	289	40	4		1	3		10		110
1	5		HL001	300	53	4		1	3		10		110
1	5		HL001	303	58	4		1	3		10		110
1	5		HL001	296	65	4		1	3		10		110
1	5		HL001	291	71	4		1	3		10		110
1	5		HL001	292	77	4		1	3		10		110
1	5		HL001	287	77	4		1	3		10		110
1	5		HL001	279	82	4		1	3		10		110
1	5		HL001	284	84	4		1	3		10		110
1	5		HL001	291	89	4		1	3		10		110
1	5		HL001	296	88	4		1	3		10		110
1	5		HL001	305	97	4		1	3		10		110
1	5		HL001	296	98	4		1	3		10		110
1	5		HL001	284	114	4		1	3		10		110
1	5		HL001	282	110	4		1	3		10		110
1	5		HL001	272	116	4		1	3		10		110
1	5		HL001	270	111	4		1	3		10		110
1	5		HL001	260	124	4		1	3		10		110
1	5		HL001	254	126	4		1	3		10		110
1	5		HL001	257	134	4		1	3		10		110
1	5		HL001	254	139	4		1	3		10		110
1	5		HL001	261	150	4		1	3		10		110
1	5		HL001	263	159	4		1	3		10		110
1	5		HL001	254	155	4		1	3		10		110
1	5		HL001	253	168	4		1	3		10		110
1	5		HL001	245	167	4		1	3		10		110
1	5		HL001	244	161	4		1	3		10		110
1	5		HL001	236	175	4		1	3		10		110
1	5		HL001	231	175	4		1	3		10		110
1	5		HL001	229	163	4		1	3		10		110
1	5		HL001	232	159	4		1	3		10		110
1	5		HL001	225	156	4		1	3		10		110
1	5		HL001	218	157	4		1	3		10		110
1	5		HL001	225	148	4		1	3		10		110
1	5		HL001	226	137	4		1	3		10		110
1	5		HL001	231	120	4		1	3		10		110
1	5		HL001	226	116	4		1	3		10		110
1	5		HL001	216	118	4		1	3		10		110
1	5		HL001	301	37	4		1	3		10		110
1	5		HL001	299	47	4		1	3		10		110
1	5		HL001	305	53	4		1	3		10		110
1	5		HL001	313	63	4		1	3		10		110
1	5		HL001	316	56	4		1	3		10		110
1	5		HL001	319	42	4		1	3		10		110
1	5		HL001	318	35	4		1	3		10		110
1	5		HL001	328	39	4		1	3		10		110
1	5		HL001	328	46	4		1	3		10		110
1	5		HL001	335	28	4		1	3		10		110
1	5		HL001	331	21	4		1	3		10		110
1	5		HL001	354	41	4		1	3		10		110
1	5		HL001	361	40	4		1	3		10		110
1	5		HL001	367	42	4		1	3		10		110
1	5		HL001	367	53	4		1	3		10		110
1	5		HL001	367	53	4		1	3		10		110
1	5		HL001	370	61	4		1	3		10		110
1	5		HL001	278	76	4		1	3		10		110
1	5		HL001	372	74	4		1	3		10		110
1	5		HL001	363	81	4		1	3		10		110
1	5		HL001	365	87	4		1	3		10		110
1	5		HL001	351	80	4		1	3		10		110
1	5		HL001	345	90	4		1	3		10		110
1	5		HL001	338	98	4		1	3		10		110
1	5		HL001	344	99	4		1	3		10		110
1	5		HL001	349	111	4		1	3		10		110
1	5		HL001	355	114	4		1	3		10		110
1	5		HL001	364	122	4		1	3		10		110
1	5		HL001	368	128	4		1	3		10		110
1	5		HL001	377	134	4		1	3		10		110
1	5		HL001	372	136	4		1	3		10		110
1	5		HL001	370	147	4		1	3		10		110
1	5		HL001	369	153	4		1	3		10		110
1	5		HL001	361	157	4		1	3		10		110
1	5		HL001	370	158	4		1	3		10		110
1	5		HL001	369	152	4		1	3		10		110
1	5		HL001	369	167	4		1	3		10		110
1	5		HL001	373	173	4		1	3		10		110
1	5		HL001	381	171	4		1	3		10		110
1	5		HL001	379	180	4		1	3		10		110
1	5		HL001	368	184	4		1	3		10		110
1	5		HL001	367	189	4		1	3		10		110
1	5		HL001	360	189	4		1	3		10		110
1	5		HL001	350	192	4		1	3		10		110
1	5		HL001	341	191	4		1	3		10		110
1	5		HL001	331	184	4		1	3		10		110
1	5		HL001	330	176	4		1	3		10		110
1	5		HL001	324	177	4		1	3		10		110
1	5		HL001	326	166	4		1	3		10		110
1	5		HL001	318	169	4		1	3		10		110
1	5		HL001	317	158	4		1	3		10		110
1	5		HL001	318	151	4		1	3		10		110
1	5		HL001	318	143	4		1	3		10		110
1	5		HL001	335	136	4		1	3		10		110
1	5		HL001	334	129	4		1	3		10		110
1	5		HL001	321	124	4		1	3		10		110
1	5		HL001	315	120	4		1	3		10		110
1	5		HL001	307	129	4		1	3		10		110
1	5		HL001	303	133	4		1	3		10		110
1	5		HL001	289	142	4		1	3		10		110
1	5		HL001	291	150	4		1	3		10		110
1	5		HL001	304	146	4		1	3		10		110
1	5		HL001	318	135	4		1	3		10		110
1	5		HL001	309	154	4		1	3		10		110
1	5		HL001	313	164	4		1	3		10		110
1	5		HL001	303	170	4		1	3		10		110
1	5		HL001	306	162	4		1	3		10		110
1	5		HL001	294	180	4		1	3		10		110
1	5		HL001	274	190	4		1	3		10		110
1	5		HL001	284	200	4		1	3		10		110
1	5		HL001	289	206	4		1	3		10		110
1	5		HL001	300	216	4		1	3		10		110
1	5		HL001	298	211	4		1	3		10		110
1	5		HL001	309	211	4		1	3		10		110
1	5		HL001	316	203	4		1	3		10		110
1	5		HL001	308	215	4		1	3		10		110
1	5		HL001	321	218	4		1	3		10		110
1	5		HL001	330	216	4		1	3		10		110
1	5		HL001	335	222	4		1	3		10		110
1	5		HL001	344	226	4		1	3		10		110
1	5		HL001	352	224	4		1	3		10		110
1	5		HL001	359	240	4		1	3		10		110
1	5		HL001	364	236	4		1	3		10		110
1	5		HL001	375	231	4		1	3		10		110
1	5		HL001	382	236	4		1	3		10		110
1	5		HL001	379	250	4		1	3		10		110
1	5		HL001	370	247	4		1	3		10		110

;新增一层地形景观													
2	5		HL001	22	53	1		1	3		10		112
2	5		HL001	24	54	1		1	3		10		112
2	5		HL001	26	58	1		1	3		10		112
2	5		HL001	55	98	1		1	3		10		112
2	5		HL001	52	100	1		1	3		10		112
2	5		HL001	22	117	1		1	3		10		112
2	5		HL001	20	119	1		1	3		10		112
2	5		HL001	18	121	1		1	3		10		112
2	5		HL001	16	123	1		1	3		10		112
2	5		HL001	15	126	1		1	3		10		112
2	5		HL001	20	123	1		1	3		10		112
2	5		HL001	22	121	1		1	3		10		112
2	5		HL001	30	164	1		1	3		10		112
2	5		HL001	32	168	1		1	3		10		112
2	5		HL001	40	169	1		1	3		10		112
2	5		HL001	59	199	1		1	3		10		112
2	5		HL001	61	201	1		1	3		10		112
2	5		HL001	22	263	1		1	3		10		112
2	5		HL001	25	264	1		1	3		10		112
2	5		HL001	26	265	1		1	3		10		112
2	5		HL001	25	262	1		1	3		10		112
											10		
2	5		HL001	72	78	1		1	3		10		112
2	5		HL001	75	78	1		1	3		10		112
2	5		HL001	111	113	1		1	3		10		112
2	5		HL001	117	114	1		1	3		10		112
2	5		HL001	113	116	1		1	3		10		112
2	5		HL001	112	118	1		1	3		10		112
2	5		HL001	98	128	1		1	3		10		112
2	5		HL001	123	165	1		1	3		10		112
2	5		HL001	128	158	1		1	3		10		112
2	5		HL001	126	157	1		1	3		10		112
2	5		HL001	351	270	1		1	3		10		112
2	5		HL001	385	350	1		1	3		10		112
2	5		HL001	311	357	1		1	3		10		112
2	5		HL001	292	325	1		1	3		10		112
2	5		HL001	248	360	1		1	3		10		112
2	5		HL001	245	365	1		1	3		10		112
2	5		HL001	243	362	1		1	3		10		112
2	5		HL001	245	360	1		1	3		10		112
2	5		HL001	267	227	1		1	3		10		112
2	5		HL001	269	227	1		1	3		10		112
2	5		HL001	270	227	1		1	3		10		112
2	5		HL001	225	220	1		1	3		10		112
											10		
											10		
											10		
											10		
											10		
;事件类型	事件组号	地图	X	Y	出现范围    攻击范围	停顿时间(S)	中心点伤害    显示特效				10		
;地图二层一号桥											10		
2	6		HL002	82	97	2		2	8		10		112
2	6		HL002	84	99	2		2	8		10		112
											10		
2	6		HL002	84	97	2		2	8		10		112
2	6		HL002	84	95	2		2	8		10		112
											10		
2	6		HL002	84	93	2		2	8		10		112
2	6		HL002	87	95	2		2	8		10		112
											10		
2	6		HL002	88	93	2		2	8		10		112
2	6		HL002	86	91	2		2	8		10		112
											10		
2	6		HL002	88	89	2		2	8		10		112
2	6		HL002	89	90	2		2	8		10		112
2	6		HL002	90	90	2		2	8		10		112
											10		
2	6		HL002	91	89	2		2	8		10		112
2	6		HL002	89	87	2		2	8		10		112
											10		
2	6		HL002	90	85	2		2	8		10		112
2	6		HL002	92	87	2		2	8		10		112
											10		
2	6		HL002	94	85	2		2	8		10		112
2	6		HL002	92	83	2		2	8		10		112
											10		
2	6		HL002	94	81	2		2	8		10		112
2	6		HL002	96	83	2		2	8		10		112
											10		
											10		
2	6		HL002	84	94	2		2	8		10		112
2	6		HL002	85	93	2		2	8		10		112
2	6		HL002	86	94	2		2	8		10		112
2	6		HL002	87	93	2		2	8		10		112
2	6		HL002	94	84	2		2	8		10		112
2	6		HL002	95	83	2		2	8		10		112
2	6		HL002	96	82	2		2	8		10		112
											10		
;新增加(wsh)											10		
											10		
2	6		HL002	95	80	2		2	8		10		112
2	6		HL002	96	81	2		2	8		10		112
2	6		HL002	98	83	2		2	8		10		112
											10		
2	6		HL002	96	80	2		2	8		10		112
2	6		HL002	97	81	2		2	8		10		112
2	6		HL002	98	82	2		2	8		10		112
											10		
2	6		HL002	97	80	2		2	8		10		112
2	6		HL002	99	82	2		2	8		10		112
											10		
2	6		HL002	98	80	2		2	8		10		112
2	6		HL002	100	82	2		2	8		10		112
											10		
;地图二层二号桥											10		
2	7		HL002	97	107	2		2	8		10		112
2	7		HL002	96	107	2		2	8		10		112
2	7		HL002	99	109	2		2	8		10		112

2	7		HL002	100	107	2		2	8		10		112
2	7		HL002	99	106	2		2	8		10		112
2	7		HL002	98	104	2		2	8		10		112

2	7		HL002	100	102	2		2	8		10		112
2	7		HL002	101	103	2		2	8		10		112
2	7		HL002	102	104	2		2	8		10		112

2	7		HL002	103	102	2		2	8		10		112
2	7		HL002	102	101	2		2	8		10		112
2	7		HL002	101	100	2		2	8		10		112
											10		
2	7		HL002	103	98	2		2	8		10		112
2	7		HL002	105	99	2		2	8		10		112

2	7		HL002	108	97	2		2	8		10		112
2	7		HL002	107	96	2		2	8		10		112

2	7		HL002	109	94	2		2	8		10		112
2	7		HL002	110	95	2		2	8		10		112
2	7		HL002	111	96	2		2	8		10		112


2	7		HL002	95	109	2		2	8		10		112
2	7		HL002	97	108	2		2	8		10		112
2	7		HL002	98	108	2		2	8		10		112
2	7		HL002	101	105	2		2	8		10		112
2	7		HL002	99	103	2		2	8		10		112
2	7		HL002	101	101	2		2	8		10		112
2	7		HL002	102	102	2		2	8		10		112
2	7		HL002	104	97	2		2	8		10		112
2	7		HL002	106	98	2		2	8		10		112
2	7		HL002	110	96	2		2	8		10		112
2	7		HL002	110	94	2		2	8		10		112

;新增加(wsh)													

2	7		HL002	110	93	2		2	8		10		112
2	7		HL002	111	94	2		2	8		10		112

2	7		HL002	114	95	2		2	8		10		112
2	7		HL002	113	94	2		2	8		10		112

2	7		HL002	111	91	2		2	8		10		112
2	7		HL002	112	92	2		2	8		10		112
2	7		HL002	114	94	2		2	8		10		112

2	7		HL002	111	90	2		2	8		10		112
2	7		HL002	113	92	2		2	8		10		112

2	7		HL002	112	89	2		2	8		10		112
2	7		HL002	114	91	2		2	8		10		112

;二层右边景观点													
2	8		HL002	79	180	0		0	3		10		112
2	8		HL002	74	165	0		0	3		10		112
2	8		HL002	89	151	0		0	3		10		112
2	8		HL002	75	128	0		0	3		10		112
2	8		HL002	70	118	0		0	3		10		112
2	8		HL002	117	81	0		0	3		10		112
2	8		HL002	166	23	0		0	3		10		112
2	8		HL002	191	27	0		0	3		10		112
2	8		HL002	192	108	0		0	3		10		112
2	8		HL002	184	141	0		0	3		10		112
2	8		HL002	184	142	0		0	3		10		112
2	8		HL002	180	145	0		0	3		10		112
2	8		HL002	135	174	0		0	3		10		112
2	8		HL002	150	173	0		0	3		10		112
2	8		HL002	157	174	0		0	3		10		112

;二层左边景观点													
2	8		HL002	31	44	0		0	3		10		112
2	8		HL002	16	83	0		0	3		10		112
2	8		HL002	33	95	0		0	3		10		112
2	8		HL002	39	93	0		0	3		10		112
2	8		HL002	37	95	0		0	3		10		112
2	8		HL002	35	97	0		0	3		10		112
2	8		HL002	29	43	0		0	3		10		112
2	8		HL002	87	25	0		0	3		10		112
2	8		HL002	21	162	0		0	3		10		112
2	8		HL002	40	175	0		0	3		10		112
2	8		HL002	43	174	0		0	3		10		112
2	8		HL002	44	172	0		0	3		10		112
2	8		HL002	41	189	0		0	3		10		112
2	8		HL002	33	190	0		0	3		10		112
