;地图	任务号	字段号	字段值	怪物名		触发值	道具名	触发值	文件名		组队
D024	105	2	10	沃玛勇士0	1	*	0	xinshou105_1		0
D024	105	2	10	沃玛勇士	1	*	0	xinshou105_1		0
D024	105	2	10	沃玛勇士821	1	*	0	xinshou105_1		0
D022	105	3	10	沃玛战将	1	*	0	xinshou105_2		0
D022	105	3	10	沃玛战将0	1	*	0	xinshou105_2		0
D023	105	3	10	沃玛战将	1	*	0	xinshou105_2		0
D023	105	3	10	沃玛战将0	1	*	0	xinshou105_2		0
D024	105	3	10	沃玛战将081	1	*	0	xinshou105_2		0
D024	105	3	10	沃玛战将0	1	*	0	xinshou105_2		0
D024	105	3	10	沃玛战将	1	*	0	xinshou105_2		0
D024	105	3	10	沃玛战将821	1	*	0	xinshou105_2		0
D022	105	4	10	火焰沃玛	1	*	0	xinshou105_3		0
D022	105	4	10	火焰沃玛0	1	*	0	xinshou105_3		0
D023	105	4	10	火焰沃玛	1	*	0	xinshou105_3		0
D023	105	4	10	火焰沃玛0	1	*	0	xinshou105_3		0
D024	105	4	10	火焰沃玛081	1	*	0	xinshou105_3		0
D024	105	4	10	火焰沃玛0	1	*	0	xinshou105_3		0
D024	105	4	10	火焰沃玛	1	*	0	xinshou105_3		0
D024	105	4	10	火焰沃玛821	1	*	0	xinshou105_3		0
;;金针副本击杀冰眼巨魔
JMZC	22	3	50	冰眼巨魔1	1	*	0	击杀冰眼巨魔	0
JMZC	22	3	50	冰眼巨魔2	1	*	0	击杀冰眼巨魔	0
D605	106	2	15	跳跳蜂821	1	*	0	xinshou106_2		0
D603	106	2	15	跳跳蜂821	1	*	0	xinshou106_2		0
D601	106	2	15	跳跳蜂	1	*	0	xinshou106_2		0
D601	106	2	15	跳跳蜂0	1	*	0	xinshou106_2		0
D604	106	2	15	跳跳蜂	1	*	0	xinshou106_2		0
D604	106	2	15	跳跳蜂0	1	*	0	xinshou106_2		0
D606	106	2	15	跳跳蜂	1	*	0	xinshou106_2		0
D606	106	2	15	跳跳蜂0	1	*	0	xinshou106_2		0
D612	106	2	15	跳跳蜂	1	*	0	xinshou106_2		0
D618	106	2	15	跳跳蜂0	1	*	0	xinshou106_2		0
D613	106	2	15	跳跳蜂	1	*	0	xinshou106_2		0
D613	106	2	15	跳跳蜂0	1	*	0	xinshou106_2		0
D614	106	2	15	跳跳蜂	1	*	0	xinshou106_2		0
D614	106	2	15	跳跳蜂0	1	*	0	xinshou106_2		0
D615	106	2	15	跳跳蜂	1	*	0	xinshou106_2		0
D615	106	2	15	跳跳蜂0	1	*	0	xinshou106_2		0
D616	106	2	15	跳跳蜂	1	*	0	xinshou106_2		0
D616	106	2	15	跳跳蜂0	1	*	0	xinshou106_2		0
D617	106	2	15	跳跳蜂	1	*	0	xinshou106_2		0
D617	106	2	15	跳跳蜂0	1	*	0	xinshou106_2		0
D618	106	2	15	跳跳蜂	1	*	0	xinshou106_2		0
D618	106	2	15	跳跳蜂0	1	*	0	xinshou106_2		0
E602	106	2	15	跳跳蜂	1	*	0	xinshou106_2		0
E602	106	2	15	跳跳蜂0	1	*	0	xinshou106_2		0
E603	106	2	15	跳跳蜂	1	*	0	xinshou106_2		0
E603	106	2	15	跳跳蜂0	1	*	0	xinshou106_2		0
E604	106	2	15	跳跳蜂	1	*	0	xinshou106_2		0
E604	106	2	15	跳跳蜂0	1	*	0	xinshou106_2		0
E605	106	2	15	跳跳蜂	1	*	0	xinshou106_2		0
E605	106	2	15	跳跳蜂0	1	*	0	xinshou106_2		0
D603	106	2	15	跳跳蜂	1	*	0	xinshou106_2		0
D603	106	2	15	跳跳蜂0	1	*	0	xinshou106_2		0
D601	106	3	10	蜈蚣821	1	*	0	xinshou106_3		0
D601	106	3	10	蜈蚣	1	*	0	xinshou106_3		0
D601	106	3	10	蜈蚣0	1	*	0	xinshou106_3		0
D602	106	3	10	蜈蚣	1	*	0	xinshou106_3		0
D602	106	3	10	蜈蚣0	1	*	0	xinshou106_3		0
D603	106	3	10	蜈蚣	1	*	0	xinshou106_3		0
D603	106	3	10	蜈蚣0	1	*	0	xinshou106_3		0
D604	106	3	10	蜈蚣	1	*	0	xinshou106_3		0
D604	106	3	10	蜈蚣0	1	*	0	xinshou106_3		0
D605	106	3	10	蜈蚣	1	*	0	xinshou106_3		0
D605	106	3	10	蜈蚣0	1	*	0	xinshou106_3		0
D606	106	3	10	蜈蚣	1	*	0	xinshou106_3		0
D606	106	3	10	蜈蚣0	1	*	0	xinshou106_3		0
D612	106	3	10	蜈蚣	1	*	0	xinshou106_3		0
D618	106	3	10	蜈蚣0	1	*	0	xinshou106_3		0
D613	106	3	10	蜈蚣	1	*	0	xinshou106_3		0
D613	106	3	10	蜈蚣0	1	*	0	xinshou106_3		0
D614	106	3	10	蜈蚣	1	*	0	xinshou106_3		0
D614	106	3	10	蜈蚣0	1	*	0	xinshou106_3		0
D615	106	3	10	蜈蚣	1	*	0	xinshou106_3		0
D615	106	3	10	蜈蚣0	1	*	0	xinshou106_3		0
D616	106	3	10	蜈蚣	1	*	0	xinshou106_3		0
D616	106	3	10	蜈蚣0	1	*	0	xinshou106_3		0
D617	106	3	10	蜈蚣	1	*	0	xinshou106_3		0
D617	106	3	10	蜈蚣0	1	*	0	xinshou106_3		0
D618	106	3	10	蜈蚣	1	*	0	xinshou106_3		0
D618	106	3	10	蜈蚣0	1	*	0	xinshou106_3		0
E602	106	3	10	蜈蚣	1	*	0	xinshou106_3		0
E602	106	3	10	蜈蚣0	1	*	0	xinshou106_3		0
E603	106	3	10	蜈蚣	1	*	0	xinshou106_3		0
E603	106	3	10	蜈蚣0	1	*	0	xinshou106_3		0
E604	106	3	10	蜈蚣	1	*	0	xinshou106_3		0
E604	106	3	10	蜈蚣0	1	*	0	xinshou106_3		0
E605	106	3	10	蜈蚣	1	*	0	xinshou106_3		0
E605	106	3	10	蜈蚣0	1	*	0	xinshou106_3		0
D601	106	4	10	巨型蠕虫821	1	*	0	xinshou106_4		0
D601	106	4	10	巨型蠕虫	1	*	0	xinshou106_4		0
D601	106	4	10	巨型蠕虫0	1	*	0	xinshou106_4		0
D605	106	4	10	巨型蠕虫	1	*	0	xinshou106_4		0
D605	106	4	10	巨型蠕虫0	1	*	0	xinshou106_4		0
D606	106	4	10	巨型蠕虫	1	*	0	xinshou106_4		0
D606	106	4	10	巨型蠕虫0	1	*	0	xinshou106_4		0
D612	106	4	10	巨型蠕虫	1	*	0	xinshou106_4		0
D618	106	4	10	巨型蠕虫0	1	*	0	xinshou106_4		0
D613	106	4	10	巨型蠕虫	1	*	0	xinshou106_4		0
D613	106	4	10	巨型蠕虫0	1	*	0	xinshou106_4		0
D614	106	4	10	巨型蠕虫	1	*	0	xinshou106_4		0
D614	106	4	10	巨型蠕虫0	1	*	0	xinshou106_4		0
D615	106	4	10	巨型蠕虫	1	*	0	xinshou106_4		0
D615	106	4	10	巨型蠕虫0	1	*	0	xinshou106_4		0
D616	106	4	10	巨型蠕虫	1	*	0	xinshou106_4		0
D616	106	4	10	巨型蠕虫0	1	*	0	xinshou106_4		0
D617	106	4	10	巨型蠕虫	1	*	0	xinshou106_4		0
D617	106	4	10	巨型蠕虫0	1	*	0	xinshou106_4		0
D618	106	4	10	巨型蠕虫	1	*	0	xinshou106_4		0
D618	106	4	10	巨型蠕虫0	1	*	0	xinshou106_4		0
D602	106	5	15	钳虫821	1	*	0	xinshou106_5		0
D602	106	5	15	钳虫	1	*	0	xinshou106_5		0
D602	106	5	15	钳虫0	1	*	0	xinshou106_5		0
D603	106	5	15	钳虫	1	*	0	xinshou106_5		0
D603	106	5	15	钳虫0	1	*	0	xinshou106_5		0
D604	106	5	15	钳虫	1	*	0	xinshou106_5		0
D604	106	5	15	钳虫0	1	*	0	xinshou106_5		0
D605	106	5	15	钳虫	1	*	0	xinshou106_5		0
D605	106	5	15	钳虫0	1	*	0	xinshou106_5		0
D606	106	5	15	钳虫	1	*	0	xinshou106_5		0
D606	106	5	15	钳虫0	1	*	0	xinshou106_5		0
D612	106	5	15	钳虫	1	*	0	xinshou106_5		0
D618	106	5	15	钳虫0	1	*	0	xinshou106_5		0
D613	106	5	15	钳虫	1	*	0	xinshou106_5		0
D613	106	5	15	钳虫0	1	*	0	xinshou106_5		0
D614	106	5	15	钳虫	1	*	0	xinshou106_5		0
D614	106	5	15	钳虫0	1	*	0	xinshou106_5		0
D615	106	5	15	钳虫	1	*	0	xinshou106_5		0
D615	106	5	15	钳虫0	1	*	0	xinshou106_5		0
D616	106	5	15	钳虫	1	*	0	xinshou106_5		0
D616	106	5	15	钳虫0	1	*	0	xinshou106_5		0
D617	106	5	15	钳虫	1	*	0	xinshou106_5		0
D617	106	5	15	钳虫0	1	*	0	xinshou106_5		0
D618	106	5	15	钳虫	1	*	0	xinshou106_5		0
D618	106	5	15	钳虫0	1	*	0	xinshou106_5		0
E602	106	5	15	钳虫	1	*	0	xinshou106_5		0
E602	106	5	15	钳虫0	1	*	0	xinshou106_5		0
E603	106	5	15	钳虫	1	*	0	xinshou106_5		0
E603	106	5	15	钳虫0	1	*	0	xinshou106_5		0
E604	106	5	15	钳虫	1	*	0	xinshou106_5		0
E604	106	5	15	钳虫0	1	*	0	xinshou106_5		0
E605	106	5	15	钳虫	1	*	0	xinshou106_5		0
E605	106	5	15	钳虫0	1	*	0	xinshou106_5		0
D601	106	6	15	黑色恶蛆821	1	*	0	xinshou106_6		0
D601	106	6	15	黑色恶蛆	1	*	0	xinshou106_6		0
D601	106	6	15	黑色恶蛆0	1	*	0	xinshou106_6		0
D602	106	6	15	黑色恶蛆	1	*	0	xinshou106_6		0
D602	106	6	15	黑色恶蛆0	1	*	0	xinshou106_6		0
D603	106	6	15	黑色恶蛆	1	*	0	xinshou106_6		0
D603	106	6	15	黑色恶蛆0	1	*	0	xinshou106_6		0
D604	106	6	15	黑色恶蛆	1	*	0	xinshou106_6		0
D604	106	6	15	黑色恶蛆0	1	*	0	xinshou106_6		0
D605	106	6	15	黑色恶蛆	1	*	0	xinshou106_6		0
D605	106	6	15	黑色恶蛆0	1	*	0	xinshou106_6		0
D606	106	6	15	黑色恶蛆	1	*	0	xinshou106_6		0
D606	106	6	15	黑色恶蛆0	1	*	0	xinshou106_6		0
D612	106	6	15	黑色恶蛆	1	*	0	xinshou106_6		0
D618	106	6	15	黑色恶蛆0	1	*	0	xinshou106_6		0
D613	106	6	15	黑色恶蛆	1	*	0	xinshou106_6		0
D613	106	6	15	黑色恶蛆0	1	*	0	xinshou106_6		0
D614	106	6	15	黑色恶蛆	1	*	0	xinshou106_6		0
D614	106	6	15	黑色恶蛆0	1	*	0	xinshou106_6		0
D615	106	6	15	黑色恶蛆	1	*	0	xinshou106_6		0
D615	106	6	15	黑色恶蛆0	1	*	0	xinshou106_6		0
D616	106	6	15	黑色恶蛆	1	*	0	xinshou106_6		0
D616	106	6	15	黑色恶蛆0	1	*	0	xinshou106_6		0
D617	106	6	15	黑色恶蛆	1	*	0	xinshou106_6		0
D617	106	6	15	黑色恶蛆0	1	*	0	xinshou106_6		0
D618	106	6	15	黑色恶蛆	1	*	0	xinshou106_6		0
D618	106	6	15	黑色恶蛆0	1	*	0	xinshou106_6		0
E602	106	6	15	黑色恶蛆	1	*	0	xinshou106_6		0
E602	106	6	15	黑色恶蛆0	1	*	0	xinshou106_6		0
E603	106	6	15	黑色恶蛆	1	*	0	xinshou106_6		0
E603	106	6	15	黑色恶蛆0	1	*	0	xinshou106_6		0
E604	106	6	15	黑色恶蛆	1	*	0	xinshou106_6		0
E604	106	6	15	黑色恶蛆0	1	*	0	xinshou106_6		0
E605	106	6	15	黑色恶蛆	1	*	0	xinshou106_6		0
E605	106	6	15	黑色恶蛆0	1	*	0	xinshou106_6		0
D024	106	7	1	暗黑战士081	1	*	0	xinshou106_7		0
D024	106	7	1	暗黑战士0	1	*	0	xinshou106_7		0
D024	106	7	1	暗黑战士821	1	*	0	xinshou106_7		0
D711	108	2	25	红野猪		1	*	0	xinshou108_2		0
D711	108	2	25	红野猪0		1	*	0	xinshou108_2		0
D712	108	2	25	红野猪		1	*	0	xinshou108_2		0
D712	108	2	25	红野猪0		1	*	0	xinshou108_2		0
D713	108	2	25	红野猪		1	*	0	xinshou108_2		0
D713	108	2	25	红野猪0		1	*	0	xinshou108_2		0
D713	108	2	25	红野猪3		1	*	0	xinshou108_2		0
D714	108	2	25	红野猪		1	*	0	xinshou108_2		0
D714	108	2	25	红野猪0		1	*	0	xinshou108_2		0
D714	108	2	25	红野猪3		1	*	0	xinshou108_2		0
D715	108	2	25	红野猪		1	*	0	xinshou108_2		0
D715	108	2	25	红野猪0		1	*	0	xinshou108_2		0
D715	108	2	25	红野猪3		1	*	0	xinshou108_2		0
D711	108	3	15	黑野猪		1	*	0	xinshou108_3		0
D712	108	4	5	黑色恶蛆	1	*	0	xinshou108_4		0
D713	108	5	5	红野猪		1	*	0	xinshou108_5		0
D715	108	6	10	楔蛾		1	*	0	xinshou108_6		0
D606	108	7	1	邪恶钳虫	1	*	0	xinshou108_7		0
D711	108	2	25	红野猪821		1	*	0	xinshou108_2		0
D711	108	3	15	黑野猪821		1	*	0	xinshou108_3		0
D712	108	4	5	黑色恶蛆821	1	*	0	xinshou108_4		0
D713	108	5	5	红野猪821		1	*	0	xinshou108_5		0
D715	108	6	10	楔蛾821		1	*	0	xinshou108_6		0
D606	108	7	1	邪恶钳虫821	1	*	0	xinshou108_7		0
;;除魔任务
D2061	23	13	20	骷髅长枪兵	1	*	0	除魔_骨魔洞		0
D2061	23	13	20	骷髅长枪兵0	1	*	0	除魔_骨魔洞		0
D2061	23	13	20	骷髅长枪兵999	1	*	0	除魔_骨魔洞		0
D2062	23	13	20	骷髅长枪兵	1	*	0	除魔_骨魔洞		0
D2062	23	13	20	骷髅长枪兵0	1	*	0	除魔_骨魔洞		0
D2062	23	13	20	骷髅长枪兵999	1	*	0	除魔_骨魔洞		0
D2063	23	13	20	骷髅长枪兵	1	*	0	除魔_骨魔洞		0
D2063	23	13	20	骷髅长枪兵0	1	*	0	除魔_骨魔洞		0
D2063	23	13	20	骷髅长枪兵999	1	*	0	除魔_骨魔洞		0
D2064	23	13	20	骷髅长枪兵	1	*	0	除魔_骨魔洞		0
D2064	23	13	20	骷髅长枪兵0	1	*	0	除魔_骨魔洞		0
D2064	23	13	20	骷髅长枪兵999	1	*	0	除魔_骨魔洞		0
D2067	23	13	20	骷髅长枪兵	1	*	0	除魔_骨魔洞		0
D2067	23	13	20	骷髅长枪兵0	1	*	0	除魔_骨魔洞		0
D2067	23	13	20	骷髅长枪兵999	1	*	0	除魔_骨魔洞		0
D001	23	15	15	骷髅		1	*	0	除魔_兽人古墓		0
D001	23	15	15	骷髅0		1	*	0	除魔_兽人古墓		0
D002	23	15	15	骷髅		1	*	0	除魔_兽人古墓		0
D002	23	15	15	骷髅0		1	*	0	除魔_兽人古墓		0
D003	23	15	15	骷髅		1	*	0	除魔_兽人古墓		0
D003	23	15	15	骷髅0		1	*	0	除魔_兽人古墓		0
D10011	23	16	10	月魔蜘蛛	1	*	0	除魔_赤月峡谷		0
D10012	23	16	10	月魔蜘蛛	1	*	0	除魔_赤月峡谷		0
D10013	23	16	10	月魔蜘蛛	1	*	0	除魔_赤月峡谷		0
D1002	23	16	10	月魔蜘蛛	1	*	0	除魔_赤月峡谷		0
D1002	23	16	10	月魔蜘蛛0	1	*	0	除魔_赤月峡谷		0
0	23	17	15	鸡		1	*	0	除魔_比奇		0
2	23	18	5	虎蛇		1	*	0	除魔_毒蛇山谷		0
2	23	18	5	虎蛇0		1	*	0	除魔_毒蛇山谷		0
0	23	19	8	食人花		1	*	0	除魔_比奇2		0
HL001	23	20	2	金杖蜘蛛081	1	*	0	除魔_雷炎		0
HL001	23	20	2	金杖蜘蛛08	1	*	0	除魔_雷炎		0
HL001	23	20	2	金杖蜘蛛083	1	*	0	除魔_雷炎		0
HL001	23	20	2	金杖蜘蛛08	1	*	0	除魔_雷炎		0
62	23	22	3	魔龙刀兵	1	*	0	除魔_魔龙西郊		0
62	23	22	3	魔龙刀兵0	1	*	0	除魔_魔龙西郊		0
;地图	任务号	字段号	字段值	怪物名		触发值	道具名	触发值	文件名		组队
3~1	71	1	1	守城法师	1	*	0	scfs		0
3~1	71	2	1	守城战士	1	*	0	sczs		0
3~1	71	3	1	守城道士	1	*	0	scds		0
0150~10  71     4       1	守城法师	1	*	0	scfs1		0
0150~10  71     5       1	守城战士	1	*	0	sczs1		0
0150~10  71     6       1	守城道士	1	*	0	scds1		0
0150~10  71     7       1	守城将军	1	*	0	scjj		0
0150~10  71     8       1	守城太尉	1	*	0	sctw		0
0150~10  71     9       1	守城国王	1	*	0	scgw		0
;地图	任务号	字段号	字段值	怪物名		触发值	道具名	触发值	文件名		组队
D024  71     11       1	 沃玛教主08	1	*	0	wmjz		0
D515  71     12       1	 祖玛教主	1	*	0	zmjz		0
D2079  71     13       1	牛魔王	1	*	0	nmw	     0
D2079  71     14       1	暗之牛魔王	1	*	0	aznmw		0
D10061  71     15       1	双头血魔	1	*	0	stxm		0
D10061  71     16       1	双头金刚	1	*	0	scjg		0
66  71     17       1	魔龙教主	1	*	0	    mljz		0
D2067  71     18       1	黄泉教主	1	*	0	hqjz		0
