;RACE	:	Word	(16位0和1长度的整数)
;各个位置的注释
;1=普通npc	2=商人npc	7=雕像npc	8=升武器npc	
;
;ID	地图	X	Y	杂货店名称	正面	主要部分	沙巴克	自动执行时间
;高级魔法师	01152	11	10	高级魔法师	0	3	0	0
盟重仓库	0145	9	12	仓库保管员	0	9	0	0
盟重仓库	3	305	373	悦来客栈老板	0	6	0	0
盟重衣服店	0149	23	20	张家布店老板	0	7	0	0
盟重手套店	0149	11	18	手套店老板	0	4	0	0
盟重头盔店	0149	8	5	老张头盔店	0	5	0	0
盟重武器店	0159	5	9	铁匠铺老板	0	0	0	0
盟重药店	0160	5	8	罗家铺子老板	0	1	0	0
盟重戒指店	0158	11	16	戒指店老板	0	5	0	0
盟重手镯店	0158	16	11	手镯店老板	0	6	0	0
盟重项链店	0158	4	21	项链店老板	0	4	0	0
盟重公告牌	3	339	334	公告牌	0	49	0	4
皇家大学士	0122	21	27	皇家大学士	0	31	0	0
皇宫总管	0150~10	9	12	皇宫总管	0	8	0	65
;天工神剪，打丝，解头盔封印
地下城守卫	T3063~01	20	24	地下城守卫	0	15	0	0	0
宫殿看守	DM002~1	18	15	宫殿看守	0	15	0	0	0
;封印人	3	320	328	封印人	0	17	0	0	0
封印人	D2002~04	17	14	封印人	0	17	0	0	0
封印人	D2002~05	17	14	封印人	0	17	0	0	0
封印人	D2002~06	17	14	封印人	0	17	0	0	0
封印人	D2002~07	17	14	封印人	0	17	0	0	0
封印人	D2002~08	17	14	封印人	0	17	0	0	0
封印人	D2002~09	17	14	封印人	0	17	0	0	0
封印人	D2002~10	17	14	封印人	0	17	0	0	0
;;封印回收
;盟重首饰商人	0158	17	17	首饰商人	0	17	0	0
盟重杂货店	3	346	334	流浪汉	0	3	0	0
盟重屠夫	3	355	329	黄家肉店老板	0	11	0	0
盟重药店	3	361	335	药店老板	0	1	0	0
盟重书店	0161	11	16	书店老板	0	2	0	0
盟重书店	3	391	335	书店老板	0	2	0	0
宣传员	3	297	302	网络文明宣传员	0	5	0	0
盟重老兵	3	328	320	盟重老兵	0	1	0	0
盟重彩票	3	284	343	彩票员	0	3	0	0
沙巴克屠夫	3	659	301	屠夫	0	11	1	0
沙巴克武器店1	0151	7	14	铁匠铺老板	0	0	1	0
沙巴克武器店2	0151	3	19	铁匠铺老板	0	0	1	0
沙巴克头盔店	0155	9	11	头盔店老板	0	5	1	0
沙巴克衣服店	0155	13	7	布店老板	0	7	1	0
沙巴克药店1	0153	14	7	药店老板	0	1	1	0
沙巴克药店2	0153	7	14	药店老板	0	9	1	0
沙巴克仓库	0152	7	12	仓库保管员	0	5	1	0
沙巴克杂货店	3	663	304	小贩	0	3	1	0
沙巴克戒指店	0154	10	15	戒指店老板	0	5	1	0
沙巴克手镯店	0154	14	7	手镯店老板	0	6	1	0
沙巴克项链店	0154	3	18	项链店老板	0	1	1	0
沙巴克武器店3	0151	12	10	兵器店老板	0	0	1	0
沙巴克城堡	0150	7	16	沙巴克城堡官员	0	8	1	0
沙巴克老人	3	669	338	老人	0	1	1	0
;火龙宝藏1	HERO1	62	43	火龙宝藏1	0	65	0	0
;火龙宝藏2	HERO1	61	44	火龙宝藏2	0	65	0	0
;火龙宝藏3	HERO1	60	46	火龙宝藏3	0	65	0	0
;火龙宝藏4	HERO1	64	42	火龙宝藏4	0	65	0	0
;神秘宝藏	HERO1	63	45	神秘宝藏	0	62	0	0
;;白日门
白日门武器店	1001	14	12	武器店老板	0	15	0	0
白日门天尊	11	225	272	天尊	0	14	0	0
白日门服装店	1003	13	16	服装店老板	0	23	0	0
白日门书店	1004	9	11	书店老板	0	18	0	0
白日门首饰店	1005	9	11	首饰店老板	0	20	0	0
白日门药剂师	1006	9	10	药剂师	0	22	0	0
白日门药店	1006	11	8	药店老板	5	25	0	0
白日门杂货店	1007	11	14	杂货店老板	0	17	0	0
白日门向导	11	186	299	向导	0	15	0	0
白日门仓库	11	184	297	仓库保管员	0	18	0	0
白日门武术教头	11	190	317	武术教头	0	16	0	0
白日门道术教头	11	185	314	道术教头	5	24	0	0
;白日门龙人	11	163	327	龙人	0	15	0	0
;;封魔谷&沃玛森林
沃玛森林药店	1	309	81	合家药店老板	0	4	0	0
沃玛森林老兵	1	55	164	老兵	0	1	0	0
封魔谷修理师	D2008	31	23	封魔谷修理师	5	0	0	0
封魔谷杂货店	4	255	224	封魔谷杂货匠	5	17	0	0
封魔谷屠夫	4	243	187	封魔谷屠夫	5	11	0	0
封魔谷武器店	4	227	223	封魔谷铁匠	5	0	0	0
封魔谷首饰店	b344	10	10	封魔谷首饰老板	5	6	0	0
封魔谷仓库	b347	9	10	封魔谷保管员	5	6	0	0
封魔谷布店	b345	12	10	封魔谷布店老板	5	7	0	0
封魔谷学者	b343	6	18	封魔谷学者	5	2	0	0
封魔谷炼药师	b343	14	10	封魔谷炼药师	5	9	0	0
封魔谷药店	b343	9	13	封魔谷药剂师	5	4	0	0
封魔谷铁匠铺	b342	14	7	封魔谷铁匠铺	5	0	0	0
封魔谷谷主	B341	16	21	封魔谷谷主	5	16	0	0
封魔谷老兵	4	238	195	封魔谷老兵	5	1	0	0
;;毒蛇山谷
毒蛇山谷武器店1	0120	7	8	朴铁匠	0	0	0	0
毒蛇山谷武器店2	2	518	492	铁匠	0	0	0	0
毒蛇山谷药店1	0117	4	10	簿家药铺老板	0	1	0	0
毒蛇山谷药店2	2	505	497	药铺老板	0	1	0	0
毒蛇山谷杂货店	2	505	479	罗家铺子老板	0	3	0	0
毒蛇山谷服装店	2	517	477	米家服装老板	0	7	0	0
毒蛇山谷仓库	2	517	466	仓库保管员	0	5	0	0
行会战入场处	2	450	300	入场处	0	2	0	0
;;魔龙山
魔龙城老兵	6	126	150	魔龙城老兵	0	1	0	0
魔龙城杂货店	6	138	154	杂货铺老板	0	17	0	0
魔龙城药店	6	129	142	药铺老板	0	22	0	0
魔龙城武器店	6	106	136	武器店老板	5	0	0	0
魔龙城服装店	6	108	162	服装店老板	0	20	0	0
魔龙城仓库	6	94	156	仓库保管员	0	6	0	0
魔龙城首饰店	6	113	126	首饰店老板	0	20	0	0
魔龙城守卫	6	115	148	魔龙城守卫	0	15	0	0
魔龙城守卫	6	95	155	魔龙城守卫	0	15	0	0
魔龙城使者	63	24	40	魔龙使者	0	1	0	0
魔龙城向导	63	254	40	魔龙城向导	0	15	0	0
魔龙城仓库	63	256	42	仓库保管员	0	6	0	0
;其他地图功能NPC
紫水晶屋服装店	D608	30	22	布店老板	0	3	0	0
祖玛寺庙服装店	D514	19	25	布店老板	0	3	0	0
祖玛阁杂货店	D5063	62	36	杂货店老板	0	1	0	0
连接通道老人	E603	31	191	老人	0	9	0	0
;;石墓阵
石墓阵武器店	D71650	23	27	武器店老板	0	0	0	0
石墓阵衣服店	D71651	23	27	衣服店老板	0	7	0	0
石墓阵杂货店	D71653	23	27	药店保管员	0	3	0	0
石墓阵首饰店	D71652	23	27	首饰店保管员	0	5	0	0
;;换金条的商人们
东方宫殿商人	0126	10	10	商人	0	9	0	0
沙巴克商人	0152	4	15	商人	0	9	0	0
悦来客栈商人	0146	4	11	商人	0	9	0	0
;;绝情谷
桃源之门仓库	R001	21	83	神秘老人	0	9	0	0
桃源之门合成师	R001	53	115	合成师	0	15	0	0
质询屋管家	G001	53	50	管家	0	94	0	0	
质询屋质询者	G001	50	50	质询者	0	1	0	0
OX质询屋红娘	G002	49	49	红娘	0	12	0	0
;;圣衣代理人
毒蛇山谷神秘老人	2	515	464	神秘老人	0	9	0	0
圣域引路人	S001	23	27	圣域引路人	0	1	0	0
宫殿前庭杂货店	H007	164	174	幻境小贩	0	3	0	0
宫殿长廊杂货店	H007~01	170	170	宫殿小贩	0	3	0	0
宫殿前庭仓库	H007	158	180	仓库管理员	0	9	0	0
宫殿长廊仓库	H007~01	160	180	仓库管理员	0	9	0	0
;;闯天关(圣殿天关暂不开)
天庭项链升级师	0122~1	28	31	天庭项链升级师	0	1	0	0
;天庭小贩	0122~1	22	26	天庭小贩	0	3	0	0
天关通道仓库	D5071~0	12	7	仓库管理员	0	1	0	0
;天关通道药师	D5071~0	11	8	药师	0	22	0	0
;天庭文曲星君	0122~1	29	32	文曲星君	0	14	0	0
圣殿守卫	D515~304	20	23	圣殿守卫	0	18	0	0
;;幻境任务
地下宫殿商人	DM002~1	19	21	宫殿商人	0	17	0	0
宫殿迷宫守卫	T3063~01	20	24	地下城守卫	0	15	0	0
宫殿迷宫商人	T3063~01	17	22	宫殿商人	0	17	0	0
;;卧龙山庄
卧龙山庄杂货店	0113~01	7	6	小贩	0	3	0	0
卧龙山庄杂货店	0114~01	11	7	小贩	0	3	0	0
卧龙山庄杂货店	0131~01	6	11	小贩	0	3	0	0
卧龙山庄杂货店	0135~01	7	6	小贩	0	3	0	0
卧龙山庄仓库	0142~01	7	7	仓库管理员	0	6	0	0
卧龙山庄仓库	0130~01	7	6	仓库管理员	0	6	0	0
卧龙山庄小贩	hero1	199	171	小贩	0	3	0	0
卧龙山庄小贩	hero1	180	128	小贩	0	3	0	0	
卧龙山庄小贩	hero1	84	87	小贩	0	3	0	0
卧龙山庄小贩	hero1	173	71	小贩	0	3	0	0
卧龙山庄小贩	hero1	96	176	小贩	0	3	0	0
;雪域分级地图
英雄圣地杂货店	YXSD	49	65	小贩	0	3	0	0
英雄圣地仓库	YXSD	44	59	仓库管理员	0	6	0	0
雪域杂货店	NZ001	47	45	药商	0	3	0	0
雪域杂货店	NZ002	47	45	药商	0	3	0	0
雪域杂货店	NZ003	47	45	药商	0	3	0	0
雪域杂货店	NZ004	47	45	药商	0	3	0	0
雪域杂货店	NZ005	47	45	药商	0	3	0	0
雪域杂货店	NZ006	47	45	药商	0	3	0	0
雪域杂货店	NZ015	116	110	药商	0	3	0	0
雪域杂货店	NZ017	190	125	药商	0	3	0	0
雪域杂货店	NZ009	47	45	药商	0	3	0	0
雪域杂货店	NZ010	47	45	药商	0	3	0	0
雪域杂货店	NZ016	116	110	药商	0	3	0	0
雪域杂货店	NZ018	190	125	药商	0	3	0	0
雪域杂货店	NZ013	190	125	药商	0	3	0	0
雪域杂货店	NZ014	190	125	药商	0	3	0	0
;;赤月峡谷
赤月峡谷白日门勇士	D1002	266	49	白日门勇士	0	15	0	0
抉择之地白日门勇士	D1004	67	230	白日门勇士	0	15	0	0
丛林迷宫白日门勇士	12	95	17	白日门勇士	0	15	0	0
秘密通道白日门来客	D701	101	157	白日门来客	0	20	0	0
同心小径迎宾使者	M100	286	276	迎宾使者	0	12	0	0
;;苍月岛
苍月岛武器店	5	127	306	武器店老板	0	1	0	0
苍月岛服装店	5	147	328	服装店老板	0	7	0	0
苍月岛药店	5	148	352	药铺老板	0	1	0	0
苍月岛药剂师	5	161	316	药剂师	0	9	0	0
苍月岛书店	5	155	298	书店老板	0	2	0	0
苍月岛仓库	5	126	331	仓库保管员	0	6	0	0
苍月岛杂货店	5	137	313	杂货铺老板	0	3	0	0
苍月岛首饰店	5	155	339	首饰店老板	0	5	0	0
比奇海边老兵	0	107	416	海边老兵	0	1	0	0
苍月岛老兵	5	139	326	海岛老兵	0	1	0	0
苍月岛天虹法师	5	118	366	天虹法师	5	24	0	0
;;每日古籍残片任务
沃玛寺庙白日门门徒	D024	50	50	白日门门徒	0	29	0	0
沃玛森林武器店	1	314	72	安家铺子老板	0	0	0	0
兽人古墓二层仓库	D002	174	216	沓水杂货	0	3	0	0
;盟重鉴宝散人	0170	9	18	鉴宝散人	0	20	0	0
;;清标记	0170	11	18	清标记	0	20	0	0
兽人古墓二层小贩	DM001	4	6	小李	0	9	0	0
;天下第一人
第一男战士	3	316	332	第一男战士	5	50	0	0	
第一女战士	3	314	334	第一女战士	5	51	0	0	
第一男方士	3	312	336	第一男方士	5	54	0	0	
第一女方士	3	310	338	第一女方士	5	55	0	0	
第一男法师	3	308	340	第一男法师	5	52	0	0	
第一女法师	3	306	342	第一女法师	5	53	0	0	
;锻造1	0	325	262	炼金师	0	3	0	0
;锻造2	0	651	620	炼金师	0	3	0	0
;锻造2	0	287	607	炼金师	0	3	0	0	
;锻造	3	326	330	炼金师	0	3	0	0	
;锻造	5	139	333	炼金师	0	3	0	0
;锻造	GA0	65	72	炼金师	0	3	0	0
武馆教头	0137	21	11	武馆教头	0	15	0	0
武馆教头	3	286	341	武馆教头	0	15	0	0
月老	M101	28	31	月老	0	14	0	0
;白金帐号	3	332	320	领奖使者	0	15	0	0
;元宝交易	GA0	76	67	元宝使者	0	15	0	0
;节日活动	GA0	70	67		节日活动  0	15	0	0
;卧龙山庄
宝藏	HERO1	55	42	宝藏	2	90	0	0
宝藏	HERO1	56	41	宝藏	1	91	0	0
宝藏	HERO1	57	40	宝藏	0	91	0	0
宝藏	HERO1	58	39	宝藏	0	92	0	0
宝藏	HERO1	59	38	宝藏	2	91	0	0
宝藏	HERO1	61	37	宝藏	1	91	0	0
宝藏	HERO1	61	37	宝藏	1	92	0	0
宝藏	HERO1	61	36	宝藏	1	92	0	0
宝藏	HERO1	60	37	宝藏	2	92	0	0
宝藏	HERO1	60	38	宝藏	0	92	0	0
宝藏	HERO1	59	39	宝藏	1	92	0	0
宝藏	HERO1	58	40	宝藏	0	92	0	0
宝藏	HERO1	58	41	宝藏	2	91	0	0
宝藏	HERO1	59	41	宝藏	2	90	0	0
宝藏	HERO1	56	43	宝藏	0	90	0	0
宝藏	HERO1	57	43	宝藏	2	92	0	0
宝藏	HERO1	61	40	宝藏	2	90	0	0
宝藏	HERO1	62	38	宝藏	1	90	0	0
神秘宝藏	HERO1	63	45	神秘宝藏	0	62	0	0
火龙宝藏1	HERO1	62	43	火龙宝藏	0	65	0	0
火龙宝藏2	HERO1	61	44	火龙宝藏	2	65	0	0
火龙宝藏3	HERO1	60	46	火龙宝藏	0	65	0	0
火龙宝藏4	HERO1	64	42	火龙宝藏	0	65	0	0
卧龙笔记          3         320   337          卧龙笔记       0    71        0      0
红色卧龙古书      HERO1     192   191           红色卧龙古书       0    72        0      0
橙色卧龙古书      HERO1     65    185          橙色卧龙古书       0    71        0      0
黄色卧龙古书      HERO1     89    139          黄色卧龙古书       0    73        0      0
绿色卧龙古书      HERO1     146   91           绿色卧龙古书       0    74        0      0
蓝色卧龙古书      HERO1     217   60           蓝色卧龙古书       0    75        0      0
;藏宝阁
藏宝阁	EM002	14	16	看守人	0	26	0	0
藏宝阁	EM002~01	14	16	看守人	0	26	0	0
藏宝阁	EM002~02	14	16	看守人	0	26	0	0
藏宝阁	EM002~03	14	16	看守人	0	26	0	0
藏宝阁	EM002~04	14	16	看守人	0	26	0	0
藏宝阁	EM002~05	14	16	看守人	0	26	0	0
藏宝阁	EM002~06	14	16	看守人	0	26	0	0
藏宝阁	EM002~07	14	16	看守人	0	26	0	0
藏宝阁	EM002~08	14	16	看守人	0	26	0	0
藏宝阁	EM002~09	14	16	看守人	0	26	0	0
藏宝阁	EM002~10	14	16	看守人	0	26	0	0
藏宝阁	EM002~11	14	16	看守人	0	26	0	0
藏宝阁	EM002~12	14	16	看守人	0	26	0	0
藏宝阁	EM002~13	14	16	看守人	0	26	0	0
藏宝阁	EM002~14	14	16	看守人	0	26	0	0
藏宝阁	EM002~15	14	16	看守人	0	26	0	0
藏宝阁	EM002~16	14	16	看守人	0	26	0	0
藏宝阁	EM002~17	14	16	看守人	0	26	0	0
藏宝阁	EM002~18	14	16	看守人	0	26	0	0
藏宝阁	EM002~19	14	16	看守人	0	26	0	0
藏宝阁	EM002~20	14	16	看守人	0	26	0	0
藏宝阁	EM002~21	14	16	看守人	0	26	0	0
藏宝阁	EM002~22	14	16	看守人	0	26	0	0
藏宝阁	EM002~23	14	16	看守人	0	26	0	0
藏宝阁	EM002~24	14	16	看守人	0	26	0	0
藏宝阁	EM002~25	14	16	看守人	0	26	0	0
藏宝阁	EM002~26	14	16	看守人	0	26	0	0
藏宝阁	EM002~27	14	16	看守人	0	26	0	0
藏宝阁	EM002~28	14	16	看守人	0	26	0	0
藏宝阁	EM002~29	14	16	看守人	0	26	0	0
藏宝阁	EM002~30	14	16	看守人	0	26	0	0
藏宝阁	EM002~31	14	16	看守人	0	26	0	0
藏宝阁	EM002~32	14	16	看守人	0	26	0	0
藏宝阁	EM002~33	14	16	看守人	0	26	0	0
藏宝阁	EM002~34	14	16	看守人	0	26	0	0
藏宝阁	EM002~35	14	16	看守人	0	26	0	0
藏宝阁	EM002~36	14	16	看守人	0	26	0	0
藏宝阁	EM002~37	14	16	看守人	0	26	0	0
藏宝阁	EM002~38	14	16	看守人	0	26	0	0
藏宝阁	EM002~39	14	16	看守人	0	26	0	0
藏宝阁	EM002~40	14	16	看守人	0	26	0	0
藏宝阁	EM002~41	14	16	看守人	0	26	0	0
藏宝阁	EM002~42	14	16	看守人	0	26	0	0
藏宝阁	EM002~43	14	16	看守人	0	26	0	0
藏宝阁	EM002~44	14	16	看守人	0	26	0	0
藏宝阁	EM002~45	14	16	看守人	0	26	0	0
藏宝阁	EM002~46	14	16	看守人	0	26	0	0
藏宝阁	EM002~47	14	16	看守人	0	26	0	0
藏宝阁	EM002~48	14	16	看守人	0	26	0	0
藏宝阁	EM002~49	14	16	看守人	0	26	0	0
藏宝阁	EM002~50	14	16	看守人	0	26	0	0
藏宝阁	EM002~51	14	16	看守人	0	26	0	0
藏宝阁	EM002~52	14	16	看守人	0	26	0	0
藏宝阁	EM002~53	14	16	看守人	0	26	0	0
藏宝阁	EM002~54	14	16	看守人	0	26	0	0
藏宝阁	EM002~55	14	16	看守人	0	26	0	0
藏宝阁	EM002~56	14	16	看守人	0	26	0	0
藏宝阁	EM002~57	14	16	看守人	0	26	0	0
藏宝阁	EM002~58	14	16	看守人	0	26	0	0
藏宝阁	EM002~59	14	16	看守人	0	26	0	0
藏宝阁	EM002~60	14	16	看守人	0	26	0	0
;内功涉及NPC
;酒神弟子	0171	8	15	酒神弟子	0	100	0	0
高级道士	0113	7	5	高级道士	0	3	0	0
高级武士	0114	14	9	高级武士	0	3	0	0
高级魔法师	0115	5	11	高级魔法师	0	3	0	0
;宗师	3	323	340	宗师	0	24	0	0
;;卧龙山庄加属性任务&沙巴克老人
卧龙山庄守护人	0115~01	3	5	山庄守护人	0	14	0	0
沙巴克老人	3	669	338	老人	0	1	0	0
;每日礼包活动
;庆典仙子	3	330	336	庆典仙子	0	12	0	0
;庆典仙子	D515~1002	20	23	庆典仙子	0	12	0	0
;祝福点活动
;王者大使	3	329	325	王者大使	5	35	0	0
;灵符礼包活动
;灵符仙子	3	326	333	灵符仙子	0	12	0	0
;春节活动(备注：1.0409幸运宝箱活动取消)
;幸运宝箱	3	328	332	幸运宝箱	0	65	0	0
;烽火台	3	320	320	烽火台	0	33	0	0
;人缘大使	3	326	336	人缘大使	0	31	0	0
;勋章守护人
;勋章守护人	GA0	82	71	勋章守护人	0	1	0	0
;;八周年免费任务&玛法巡游&礼包活动
;八周年庆典大使	3	329	336	八周年庆典大使	0	13	0	0
宫殿长廊密探	H007~01	101	89	密探	0	16	0	0
封魔谷密探	D2008	32	22	密探	0	16	0	0
紫水晶屋老吴	D608	26	27	老吴	0	9	0	0
盟重活动使者	3	343	337	任务使者	0	8	0	0
;易答答题
;易答答题	0	308	237	盛大易答考官	0	3	0	0
;庄园
庄园管家	GA0	50	48	管家	0	7	0	0
庄园仓库	GA0	68	69	仓库管理员	0	1	0	0
庄园灵符仙子	GA0	66	66	灵符仙子	0	12	0	0
;雷炎洞穴
雷炎小贩	HL001	372	32	小贩	0	7	0	0
雷炎小贩	HL001	204	267	小贩	0	3	0	0
雷炎小贩	HL002	119	79	小贩	0	7	0	0
雷炎小贩	HL002	105	67	小贩	0	3	0	0
;雷炎探险者	HL001	19	223	洞穴探险者	0	15	0	0
;雷炎探险者	HL002	80	154	洞穴探险者	0	15	0	0
雷炎探险	HL002	140	156	神秘之地	0	15	0	0
行会战逃离点	F003	41	41	逃离点	0	2	0	0
;年兽
;年兽版本1	3	320	340	富贵兽猎人	0	11	0	0
;年兽版本2	DNS001	23	26	围猎者	0	11	0	0
;年兽版本3	3	319	339	捕杀富贵兽公告	0	49	0	0
;年兽版本4	H007	154	163	霹雳弹兑换商	0	9	0	0
;PK夺宝
PK夺宝	D2004~01	37	52	送宝人偶	0	26	0	0
PK夺宝	H007~01	107	95	送宝人偶	0	26	0	0
;PK夺宝	3	334	330	送宝人偶	0	26	0	0
;夺宝战
PK夺宝	0139~12	25	25	看守人	0	26	0	0
PK夺宝	f007~01	101	161	看守人	0	26	0	0
PK夺宝	f009~01	102	94	看守人	0	26	0	0
PK夺宝	f006~01	104	121	看守人	0	26	0	0
PK夺宝	f003~03	48	84	看守人	0	26	0	0
PK夺宝	D2079~06	52	51	看守人	0	26	0	0
PK夺宝	f002~01	51	50	看守人	0	26	0	0
PK夺宝	D2004~02	37	52	送宝人偶	0	26	0	0
;;传奇成长任务
;比奇任务使者1	0	333	263	任务使者	0	8	0	0
;比奇任务使者2	0	648	624	任务使者	0	8	0	0
